epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,710.011,2.02673,3.91414,1.78984,0.30667,0.27493,0.20128,0.08471,2.06943,3.21693,1.76958,0.00333135,0.00333135,0.00333135
2,1370.11,2.00554,2.94096,1.73142,0.31027,0.25475,0.20618,0.08407,2.1381,2.72363,1.83005,0.00653272,0.00653272,0.00653272
3,1999.88,2.08446,2.76838,1.81807,0.28996,0.2088,0.15808,0.06312,2.21647,2.88998,1.96561,0.00960209,0.00960209,0.00960209
4,2632.63,2.09605,2.70021,1.84879,0.31716,0.25327,0.20104,0.0846,2.13892,2.78365,1.91259,0.009406,0.009406,0.009406
5,3260.68,2.01028,2.55543,1.79294,0.33677,0.30141,0.25033,0.11029,2.02655,2.5428,1.78172,0.009208,0.009208,0.009208
6,3658.85,1.96081,2.44347,1.74667,0.36804,0.33609,0.29524,0.13337,1.9677,2.49238,1.76223,0.00901,0.00901,0.00901
7,4059.61,1.92516,2.35776,1.71549,0.41615,0.36838,0.3424,0.15983,1.91218,2.30945,1.71712,0.008812,0.008812,0.008812
8,4450.6,1.89285,2.30036,1.68989,0.46885,0.38762,0.37298,0.17597,1.87544,2.25529,1.65704,0.008614,0.008614,0.008614
9,4849.63,1.87617,2.24922,1.66786,0.46706,0.39372,0.38823,0.18674,1.86417,2.1965,1.68066,0.008416,0.008416,0.008416
10,5331.82,1.85194,2.19647,1.6567,0.49762,0.40327,0.40601,0.19468,1.85462,2.15424,1.6507,0.008218,0.008218,0.008218
11,5872.8,1.83248,2.15848,1.63917,0.50341,0.41464,0.41244,0.2021,1.84166,2.0975,1.61899,0.00802,0.00802,0.00802
12,6306.89,1.81253,2.13376,1.61819,0.50399,0.43389,0.42899,0.21163,1.80339,2.08053,1.60228,0.007822,0.007822,0.007822
13,6681.91,1.80623,2.10457,1.60652,0.50361,0.43402,0.43613,0.21732,1.78663,2.04617,1.60454,0.007624,0.007624,0.007624
